race,year,rider_name,country,team,distance_km,winning_time_hours,winning_points,multi_classification,title_reassigned,no_winner,status,avg_speed_kmh,birth_date,height_cm,weight_kg,citizenships,age_at_win
tdf,1903,Maurice Garin,France,La Française,2428.0,94.55388888888888,,False,False,False,held,25.6784784690682,1871-03-03,,,"France, Kingdom of Italy",32.39151266255989
tdf,1904,Henri Cornet,France,Conte,2428.0,96.09861111111113,,False,False,False,held,25.265713748897976,1884-08-04,,,France,19.969883641341546
tdf,1905,Louis Trousselier,France,Peugeot–Wolber,2994.0,,35.0,False,False,False,held,,1881-06-29,161.0,,France,24.0684462696783
tdf,1906,René Pottier,France,Peugeot–Wolber,4637.0,,31.0,False,False,False,held,,1879-06-06,,,France,27.132101300479125
tdf,1907,Lucien Petit-Breton,France,Peugeot–Wolber,4488.0,,47.0,False,False,False,held,,1882-10-18,,,France,24.763860369609855
tdf,1908,Lucien Petit-Breton,France,Peugeot–Wolber,4497.0,,36.0,False,False,False,held,,1882-10-18,,,France,25.765913757700204
tdf,1909,François Faber,Luxembourg,Alcyon–Dunlop,4498.0,,37.0,False,False,False,held,,1887-01-26,180.0,91.0,"France, Luxembourg",22.491444216290212
tdf,1910,Octave Lapize,France,Alcyon–Dunlop,4734.0,,63.0,False,False,False,held,,1887-10-24,,,France,22.748802190280628
tdf,1911,Gustave Garrigou,France,Alcyon–Dunlop,5343.0,,43.0,False,False,False,held,,1884-09-24,164.0,,France,26.82819986310746
tdf,1912,Odile Defraye,Belgium,Alcyon–Dunlop,5289.0,,49.0,False,False,False,held,,1888-07-14,,,Belgium,24.027378507871322
tdf,1913,Philippe Thys,Belgium,Peugeot–Wolber,5287.0,197.9,,False,False,False,held,26.715512885295603,1889-10-08,,,Belgium,23.79192334017796
tdf,1914,Philippe Thys,Belgium,Peugeot–Wolber,5380.0,200.48,,False,False,False,held,26.835594573024743,1889-10-08,,,Belgium,24.791238877481177
tdf,1915,,,,,,,False,False,False,no_race,,,,,,
tdf,1916,,,,,,,False,False,False,no_race,,,,,,
tdf,1917,,,,,,,False,False,False,no_race,,,,,,
tdf,1918,,,,,,,False,False,False,no_race,,,,,,
tdf,1919,Firmin Lambot,Belgium,La Sportive,5560.0,231.1208333333333,,False,False,False,held,24.056680307919738,1886-03-14,170.0,,Belgium,33.360711841204655
tdf,1920,Philippe Thys,Belgium,La Sportive,5503.0,228.6036111111111,,False,False,False,held,24.07223566265236,1889-10-08,,,Belgium,30.792607802874745
tdf,1921,Léon Scieur,Belgium,La Sportive,5485.0,221.8405555555556,,False,False,False,held,24.724965127606666,1888-03-19,,,Belgium,33.347022587268995
tdf,1922,Firmin Lambot,Belgium,Peugeot–Wolber,5375.0,222.135,,False,False,False,held,24.19699732144867,1886-03-14,170.0,,Belgium,36.36139630390144
tdf,1923,Henri Pélissier,France,Automoto–Hutchinson,5386.0,222.25833333333333,,False,False,False,held,24.2330621274043,1889-01-22,,,France,34.49965776865161
tdf,1924,Ottavio Bottecchia,Italy,Automoto,5425.0,226.3058333333333,,False,False,False,held,23.97198481406062,1894-08-01,,,"Italy, Kingdom of Italy",29.97946611909651
tdf,1925,Ottavio Bottecchia,Italy,Automoto–Hutchinson,5440.0,219.17166666666665,,False,False,False,held,24.82072652334928,1894-08-01,,,"Italy, Kingdom of Italy",30.978781656399725
tdf,1926,Lucien Buysse,Belgium,Automoto–Hutchinson,5745.0,238.74027777777775,,False,False,False,held,24.0638071358345,1892-09-11,,,Belgium,33.86447638603696
tdf,1927,Nicolas Frantz,Luxembourg,Alcyon–Dunlop,5398.0,198.2783333333333,,False,False,False,held,27.22435633410946,1899-11-04,,,Luxembourg,27.718001368925393
tdf,1928,Nicolas Frantz,Luxembourg,Alcyon–Dunlop,5476.0,192.81611111111116,,False,False,False,held,28.400116403366475,1899-11-04,,,Luxembourg,28.720054757015742
tdf,1929,Maurice De Waele,Belgium,Alcyon–Dunlop,5286.0,186.65416666666667,,False,False,False,held,28.31975355492555,1896-12-27,,,Belgium,32.57221081451061
tdf,1930,André Leducq,France,France,4822.0,172.20444444444442,,False,False,False,held,28.001600165178345,1904-02-27,,,France,26.406570841889117
tdf,1931,Antonin Magne,France,France,5091.0,177.1675,,False,False,False,held,28.73551864760749,1904-02-15,,,France,27.43874058863792
tdf,1932,André Leducq,France,France,4479.0,154.19694444444443,,False,False,False,held,29.047268194174475,1904-02-27,,,France,28.407939767282684
tdf,1933,Georges Speicher,France,France,4395.0,147.86027777777778,,False,False,False,held,29.7240074619996,1907-06-08,,,France,26.130047912388775
tdf,1934,Antonin Magne,France,France,4470.0,147.23277777777778,,False,False,False,held,30.36008738996072,1904-02-15,,,France,30.439425051334702
