rider_name,country,wins_tdf,wins_giro,wins_vuelta,wins_total,races_won,birth_date,citizenships,height_cm,weight_kg
Abraham Olano,Spain,0,0,1,1,1,1970-01-22,Spain,181.0,70.0
Agustín Tamames,Spain,0,0,1,1,1,1944-10-19,Spain,173.0,66.0
Aitor González,Spain,0,0,1,1,1,,,,
Alberto Contador,Spain,2,2,3,7,3,1982-12-06,Spain,176.0,62.0
Alejandro Valverde,Spain,0,0,1,1,1,1980-04-25,Spain,177.0,61.0
Alex Zülle,Switzerland,0,0,2,2,1,1968-07-05,Switzerland,185.0,
Alexander Vinokourov,Kazakhstan,0,0,1,1,1,,,,
Alfonso Calzolari,Italy,0,1,0,1,1,1887-04-30,"Italy, Kingdom of Italy",,
Alfredo Binda,Italy,0,5,0,5,1,1902-08-11,"Italy, Kingdom of Italy",,
Andrew Hampsten,United States,0,1,0,1,1,1962-04-07,United States,,
André Leducq,France,2,0,0,2,1,1904-02-27,France,,
Andy Schleck,Luxembourg,1,0,0,1,1,1985-06-10,Luxembourg,186.0,68.0
Angelino Soler,Spain,0,0,1,1,1,1939-11-25,Spain,,
Angelo Conterno,Italy,0,0,1,1,1,1925-03-13,"Italy, Kingdom of Italy",,
Antonin Magne,France,2,0,0,2,1,1904-02-15,France,,
Antonio Pesenti,Italy,0,1,0,1,1,1908-05-17,"Italy, Kingdom of Italy",,
Antonio Suárez,Spain,0,0,1,1,1,,,,
Arnaldo Pambianco,Italy,0,1,0,1,1,1935-08-16,Italy,,
Bernard Hinault,France,5,3,2,10,3,1954-11-14,France,175.0,
Bernard Thévenet,France,2,0,0,2,1,1948-01-10,France,,
Bernardo Ruiz,Spain,0,0,1,1,1,1925-01-08,Spain,,
Bjarne Riis,Denmark,1,0,0,1,1,1964-04-03,Kingdom of Denmark,186.0,
Bradley Wiggins,Great Britain,1,0,0,1,1,1980-04-28,United Kingdom,190.0,83.0
Cadel Evans,Australia,1,0,0,1,1,1977-02-14,Australia,174.0,68.0
Carlo Clerici,Switzerland,0,1,0,1,1,1929-09-03,"Italy, Kingdom of Italy, Switzerland",,
Carlo Galetti,Italy,0,2,0,2,1,1882-08-26,"Italy, Kingdom of Italy",,
Carlo Oriani,Italy,0,1,0,1,1,1888-11-05,Kingdom of Italy,,
Carlos Sastre,Spain,1,0,0,1,1,1975-04-22,Spain,173.0,61.0
Charly Gaul,Luxembourg,1,2,0,3,2,1932-12-08,Luxembourg,173.0,64.0
Chris Froome,Great Britain,4,1,2,7,3,1985-05-20,"Kenya, United Kingdom",186.0,69.0
Chris Horner,United States,0,0,1,1,1,1971-10-23,United States,180.0,63.0
Costante Girardengo,Italy,0,2,0,2,1,1893-03-18,"Italy, Kingdom of Italy",,
Dalmacio Langarica,Spain,0,0,1,1,1,1919-12-05,Spain,,
Damiano Cunego,Italy,0,1,0,1,1,1981-09-19,Italy,169.0,58.0
Danilo Di Luca,Italy,0,1,0,1,1,1976-01-02,Italy,174.0,61.0
Delio Rodríguez,Spain,0,0,1,1,1,1916-04-19,Spain,,
Denis Menchov,Russia,0,1,1,2,2,1978-01-25,Russia,180.0,65.0
Eddy Merckx,Belgium,5,5,1,11,3,1945-06-17,Belgium,182.0,74.0
Edward Van Dijck,Belgium,0,0,1,1,1,1918-03-22,Belgium,,
Egan Bernal,Colombia,1,1,0,2,2,1997-01-13,Colombia,175.0,60.0
Emilio Rodríguez,Spain,0,0,1,1,1,1923-11-28,Spain,,
Ercole Baldini,Italy,0,1,0,1,1,1933-01-26,Italy,170.0,67.0
Evgeni Berzin,Russia,0,1,0,1,1,1970-06-03,"Russia, Soviet Union",176.0,68.0
Fabio Aru,Italy,0,0,1,1,1,1990-07-03,Italy,183.0,65.0
Faustino Rupérez,Spain,0,0,1,1,1,1956-07-29,Spain,,
Fausto Bertoglio,Italy,0,1,0,1,1,1949-01-13,Italy,,
Fausto Coppi,Italy,2,5,0,7,2,1919-09-15,"Italy, Kingdom of Italy",177.0,
Federico Bahamontes,Spain,1,0,0,1,1,1928-07-09,Spain,,
Felice Gimondi,Italy,1,3,1,5,3,1942-09-29,Italy,181.0,71.0
Ferdinand Bracke,Belgium,0,0,1,1,1,1939-05-25,Belgium,,
Ferdinand Kübler,Switzerland,1,0,0,1,1,1919-07-24,Switzerland,,
Fiorenzo Magni,Italy,0,3,0,3,1,1920-12-07,"Italy, Kingdom of Italy",,
Firmin Lambot,Belgium,2,0,0,2,1,1886-03-14,Belgium,170.0,
Francesco Camusso,Italy,0,1,0,1,1,1908-03-09,"Italy, Kingdom of Italy",,
Francesco Moser,Italy,0,1,0,1,1,1951-06-19,Italy,180.0,
Francisco Gabica,Spain,0,0,1,1,1,1937-12-31,Spain,,
Franco Balmamion,Italy,0,2,0,2,1,1940-01-11,Italy,172.0,67.0
Franco Chioccioli,Italy,0,1,0,1,1,1959-08-25,Italy,,
Frans De Mulder,Belgium,0,0,1,1,1,1937-12-14,Belgium,,
François Faber,Luxembourg,1,0,0,1,1,1887-01-26,"France, Luxembourg",180.0,91.0
Freddy Maertens,Belgium,0,0,1,1,1,1952-02-13,Belgium,,
Gaetano Belloni,Italy,0,1,0,1,1,1892-08-26,"Italy, Kingdom of Italy",,
Gastone Nencini,Italy,1,1,0,2,2,1930-03-01,"Italy, Kingdom of Italy",,
Georges Speicher,France,1,0,0,1,1,1907-06-08,France,,
Geraint Thomas,Great Britain,1,0,0,1,1,1986-05-25,United Kingdom,183.0,71.0
Gianni Bugno,Italy,0,1,0,1,1,1964-02-14,Italy,,
Gianni Motta,Italy,0,1,0,1,1,1943-03-13,Italy,,
Gilberto Simoni,Italy,0,2,0,2,1,1971-08-25,Italy,170.0,58.0
Gino Bartali,Italy,2,3,0,5,2,1914-07-18,"Italy, Kingdom of Italy",,
Giovanni Battaglin,Italy,0,1,1,2,2,1951-07-22,Italy,,
Giovanni Brunero,Italy,0,3,0,3,1,1898-03-15,Kingdom of Italy,,
Giovanni Valetti,Italy,0,2,0,2,1,1913-09-22,"Italy, Kingdom of Italy",,
Giuseppe Enrici,Italy,0,1,0,1,1,1896-01-02,"Italy, Kingdom of Italy",,
Giuseppe Saronni,Italy,0,2,0,2,1,1957-09-22,Italy,170.0,67.0
Greg LeMond,United States,3,0,0,3,1,1961-06-26,United States,,
Gustaaf Deloor,Belgium,0,0,2,2,1,1913-06-24,Belgium,,
Gustave Garrigou,France,1,0,0,1,1,1884-09-24,France,164.0,
Gösta Pettersson,Sweden,0,1,0,1,1,1940-11-23,Sweden,189.0,
Henri Cornet,France,1,0,0,1,1,1884-08-04,France,,
Henri Pélissier,France,1,0,0,1,1,1889-01-22,France,,
Hugo Koblet,Switzerland,1,1,0,2,2,1925-03-21,Switzerland,,
Ivan Basso,Italy,0,2,0,2,1,1977-11-26,Italy,182.0,69.0
Ivan Gotti,Italy,0,2,0,2,1,1969-03-28,Italy,173.0,55.0
Jacques Anquetil,France,5,2,1,8,3,1934-01-08,France,176.0,70.0
Jai Hindley,Australia,0,1,0,1,1,1996-05-05,Australia,175.0,
Jan Janssen,Netherlands,1,0,1,2,2,1940-05-19,Kingdom of the Netherlands,174.0,76.0
Jan Ullrich,Germany,1,0,1,2,2,1973-12-02,"East Germany, Germany",183.0,
Jean Dotto,France,0,0,1,1,1,1928-03-27,"France, Italy",,
Jean Robic,France,1,0,0,1,1,1921-06-10,France,161.0,60.0
Jean Stablinski,France,0,0,1,1,1,1932-05-21,"France, Poland",,
Jesús Loroño,Spain,0,0,1,1,1,1926-01-10,Spain,,
Johan De Muynck,Belgium,0,1,0,1,1,1948-05-30,Belgium,,
Jonas Vingegaard,Denmark,2,1,1,4,3,1996-12-10,Kingdom of Denmark,175.0,
Joop Zoetemelk,Netherlands,1,0,1,2,2,1946-12-03,Kingdom of the Netherlands,173.0,68.0
José Manuel Fuente,Spain,0,0,2,2,1,1945-09-30,Spain,,
José Pesarrodona,Spain,0,0,1,1,1,,,,
Julián Berrendero,Spain,0,0,2,2,1,1912-04-08,Spain,,
Laurent Fignon,France,2,1,0,3,2,1960-08-12,France,,
Laurent Jalabert,France,0,0,1,1,1,1968-11-30,France,176.0,68.0
Learco Guerra,Italy,0,1,0,1,1,1902-10-14,"Italy, Kingdom of Italy",,
Louis Trousselier,France,1,0,0,1,1,1881-06-29,France,161.0,
Louison Bobet,France,3,0,0,3,1,1925-03-12,France,,
Lucien Aimar,France,1,0,0,1,1,1941-04-28,France,170.0,
Lucien Buysse,Belgium,1,0,0,1,1,1892-09-11,Belgium,,
Lucien Petit-Breton,France,2,0,0,2,1,1882-10-18,France,,
Lucien Van Impe,Belgium,1,0,0,1,1,1946-10-20,Belgium,,
Luigi Ganna,Italy,0,1,0,1,1,1883-12-01,"Italy, Kingdom of Italy",,
Luigi Marchisio,Italy,0,1,0,1,1,1909-04-26,"Italy, Kingdom of Italy",,
Luis Herrera,Colombia,0,0,1,1,1,1961-05-04,Colombia,168.0,
Luis Ocaña,Spain,1,0,1,2,2,1945-06-09,Spain,,
Léon Scieur,Belgium,1,0,0,1,1,1888-03-19,Belgium,,
Marco Giovannetti,Italy,0,0,1,1,1,1962-04-04,Italy,189.0,
Marco Pantani,Italy,1,1,0,2,2,1970-01-13,Italy,172.0,57.0
Marino Lejarreta,Spain,0,0,1,1,1,1957-05-14,Spain,,
Maurice De Waele,Belgium,1,0,0,1,1,1896-12-27,Belgium,,
Maurice Garin,France,1,0,0,1,1,1871-03-03,"France, Kingdom of Italy",,
Melcior Mauri,Spain,0,0,1,1,1,1966-04-08,Spain,,
Michel Pollentier,Belgium,0,1,0,1,1,1951-02-13,Belgium,,
Michele Scarponi,Italy,0,1,0,1,1,1979-09-25,Italy,174.0,63.0
Miguel Indurain,Spain,0,2,0,2,1,,,,
Miguel Induráin,Spain,5,0,0,5,1,1964-07-16,Spain,188.0,76.0
Nairo Quintana,Colombia,0,1,1,2,2,1990-02-04,Colombia,166.0,58.0
Nicolas Frantz,Luxembourg,2,0,0,2,1,1899-11-04,Luxembourg,,
Octave Lapize,France,1,0,0,1,1,1887-10-24,France,,
Odile Defraye,Belgium,1,0,0,1,1,1888-07-14,Belgium,,
Ottavio Bottecchia,Italy,2,0,0,2,1,1894-08-01,"Italy, Kingdom of Italy",,
Paolo Savoldelli,Italy,0,2,0,2,1,1973-05-07,Italy,180.0,70.0
Pavel Tonkov,Russia,0,1,0,1,1,1969-02-09,"Russia, Soviet Union",179.0,71.0
Pedro Delgado,Spain,1,0,2,3,2,1960-04-15,Spain,,
