Cyclist,Country,Year,Birthdate,Age
Maurice Garin,France,1903,1871-03-03,32
Henri Cornet[a],France,1904,1884-08-04,20
Louis Trousselier,France,1905,1881-06-29,24
René Pottier,France,1906,1879-06-05,27
Lucien Petit-Breton,France,1907,1882-10-18,25
Lucien Petit-Breton,France,1908,1882-10-18,26
François Faber,Luxembourg,1909,1887-01-26,22
Octave Lapize,France,1910,1887-10-24,23
Gustave Garrigou,France,1911,1884-09-24,27
Odile Defraye,Belgium,1912,1888-07-14,24
Philippe Thys,Belgium,1913,1889-10-08,24
Philippe Thys,Belgium,1914,1889-10-08,25
Firmin Lambot,Belgium,1919,1886-03-14,33
Philippe Thys,Belgium,1920,1889-10-08,31
Léon Scieur,Belgium,1921,1888-03-18,33
Firmin Lambot,Belgium,1922,1886-03-14,36
Henri Pélissier,France,1923,1889-01-22,34
Ottavio Bottecchia,Italy,1924,1894-08-01,30
Ottavio Bottecchia,Italy,1925,1894-08-01,31
Lucien Buysse,Belgium,1926,1892-09-11,34
Nicolas Frantz,Luxembourg,1927,1899-11-04,28
Nicolas Frantz,Luxembourg,1928,1899-11-04,29
Maurice De Waele,Belgium,1929,1896-12-27,33
André Leducq,France,1930,1904-02-27,26
Antonin Magne,France,1931,1904-01-15,27
André Leducq,France,1932,1904-02-27,28
Georges Speicher,France,1933,1907-06-08,26
Antonin Magne,France,1934,1904-01-15,30
Romain Maes,Belgium,1935,1912-08-10,23
Sylvère Maes,Belgium,1936,1909-08-27,27
Roger Lapébie,France,1937,1911-01-16,26
Gino Bartali*,Italy,1938,1914-07-18,24
Sylvère Maes*,Belgium,1939,1909-08-27,30
Jean Robic,France,1947,1921-06-10,26
Gino Bartali*,Italy,1948,1914-07-18,34
Fausto Coppi*,Italy,1949,1919-09-15,30
Ferdinand Kübler,Switzerland,1950,1919-07-24,31
Hugo Koblet,Switzerland,1951,1925-03-21,26
Fausto Coppi*,Italy,1952,1919-09-15,33
Louison Bobet,France,1953,1925-03-12,28
Louison Bobet,France,1954,1925-03-12,29
Louison Bobet,France,1955,1925-03-12,30
Roger Walkowiak,France,1956,1927-03-02,29
Jacques Anquetil,France,1957,1934-01-08,23
Charly Gaul,Luxembourg,1958,1932-12-08,26
Federico Bahamontes*,Spain,1959,1928-07-09,31
Gastone Nencini,Italy,1960,1930-03-01,30
Jacques Anquetil,France,1961,1934-01-08,27
Jacques Anquetil,France,1962,1934-01-08,28
Jacques Anquetil,France,1963,1934-01-08,29
Jacques Anquetil,France,1964,1934-01-08,30
Felice Gimondi,Italy,1965,1942-09-29,23
Lucien Aimar,France,1966,1941-04-28,25
Roger Pingeon,France,1967,1940-08-28,27
Jan Janssen,Netherlands,1968,1940-05-19,28
Eddy Merckx‡,Belgium,1969,1945-06-17,24
Eddy Merckx*,Belgium,1970,1945-06-17,25
Eddy Merckx†,Belgium,1971,1945-06-17,26
Eddy Merckx†,Belgium,1972,1945-06-17,27
Luis Ocaña,Spain,1973,1945-06-09,28
Eddy Merckx,Belgium,1974,1945-06-17,29
Bernard Thévenet,France,1975,1948-01-10,27
Lucien Van Impe,Belgium,1976,1946-10-20,30
Bernard Thévenet,France,1977,1948-01-10,29
Bernard Hinault,France,1978,1954-11-14,24
Bernard Hinault†,France,1979,1954-11-14,25
Joop Zoetemelk,Netherlands,1980,1946-12-03,34
Bernard Hinault,France,1981,1954-11-14,27
Bernard Hinault,France,1982,1954-11-14,28
Laurent Fignon#,France,1983,1960-08-12,23
Laurent Fignon,France,1984,1960-08-12,24
Bernard Hinault,France,1985,1954-11-14,31
Greg LeMond,United States,1986,1961-06-26,25
Stephen Roche,Ireland,1987,1959-11-28,28
Pedro Delgado,Spain,1988,1960-04-15,28
Greg LeMond,United States,1989,1961-06-26,28
Greg LeMond,United States,1990,1961-06-26,29
Miguel Induráin,Spain,1991,1964-07-16,27
Miguel Induráin,Spain,1992,1964-07-16,28
Miguel Induráin,Spain,1993,1964-07-16,29
Miguel Induráin,Spain,1994,1964-07-16,30
Miguel Induráin,Spain,1995,1964-07-16,31
Bjarne Riis[b],Denmark,1996,1964-04-03,32
Jan Ullrich#,Germany,1997,1973-12-02,24
Marco Pantani,Italy,1998,1970-01-13,28
Óscar Pereiro[d],Spain,2006,1977-08-03,29
Alberto Contador#,Spain,2007,1982-12-06,25
Carlos Sastre*,Spain,2008,1975-04-22,33
Alberto Contador,Spain,2009,1982-12-06,27
Andy Schleck#[e],Luxembourg,2010,1985-06-10,25
Cadel Evans,Australia,2011,1977-02-14,34
Bradley Wiggins,Great Britain,2012,1980-04-28,32
Chris Froome,Great Britain,2013,1985-05-20,28
Vincenzo Nibali,Italy,2014,1984-11-14,30
Chris Froome*,Great Britain,2015,1985-05-20,30
Chris Froome,Great Britain,2016,1985-05-20,31
Chris Froome,Great Britain,2017,1985-05-20,32
Geraint Thomas,Great Britain,2018,1986-05-25,32
Egan Bernal#,Colombia,2019,1997-01-13,22
Tadej Pogačar§,Slovenia,2020,1998-09-21,22
Tadej Pogačar§,Slovenia,2021,1998-09-21,23
Jonas Vingegaard*,Denmark,2022,1996-12-10,26
Jonas Vingegaard,Denmark,2023,1996-12-10,27
Tadej Pogačar,Slovenia,2024,1998-09-21,26
Tadej Pogačar*,Slovenia,2025,1998-09-21,27
